,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_learning_rate_init,param_momentum,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,14.835323969523111,0.8767428765571768,0.6617573102315267,0.027118402575467982,0.6102624513006164,14,0.3525548934006889,0.4066410542722724,"{'alpha': 0.6102624513006164, 'hidden_layer_sizes': 14, 'learning_rate_init': 0.3525548934006889, 'momentum': 0.4066410542722724}",0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,26
1,35.78174503644308,2.161683677424353,1.3145215511322021,0.12057399376485288,0.33031471056908035,104,0.9760948289043537,0.7828423871796525,"{'alpha': 0.33031471056908035, 'hidden_layer_sizes': 104, 'learning_rate_init': 0.9760948289043537, 'momentum': 0.7828423871796525}",0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,26
2,32.99995541572571,2.5041105479387924,1.1675198872884114,0.10735694908650942,0.3486854843408339,114,0.4612415318179286,0.19378383899293333,"{'alpha': 0.3486854843408339, 'hidden_layer_sizes': 114, 'learning_rate_init': 0.4612415318179286, 'momentum': 0.19378383899293333}",0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,26
3,15.062097072601318,1.1131362454824762,0.7560333410898844,0.03314110775230732,0.22758137715836468,7,0.3455370034483891,0.1375574149688833,"{'alpha': 0.22758137715836468, 'hidden_layer_sizes': 7, 'learning_rate_init': 0.3455370034483891, 'momentum': 0.1375574149688833}",0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,26
4,22.567038138707478,1.213733650145192,0.985842227935791,0.0489696281507107,0.48213213295792556,24,0.6651050194970569,0.9859508542719816,"{'alpha': 0.48213213295792556, 'hidden_layer_sizes': 24, 'learning_rate_init': 0.6651050194970569, 'momentum': 0.9859508542719816}",0.12275957165873344,0.11942086582670508,0.06666666666666668,0.1029490347173684,0.02569169013102798,23
5,149.4530528386434,25.485271354356236,1.3648819128672283,0.503307918888217,0.05975594913801298,90,0.00782864512795467,0.8084182016547918,"{'alpha': 0.05975594913801298, 'hidden_layer_sizes': 90, 'learning_rate_init': 0.00782864512795467, 'momentum': 0.8084182016547918}",0.9746686334688606,0.9800905640382508,0.9765246296336298,0.9770946090469138,0.002249887430294773,1
6,16.286271969477337,1.4021276186751574,0.7800827026367188,0.025434640324033173,0.5891067627756648,24,0.41277666074447583,0.3444640894355182,"{'alpha': 0.5891067627756648, 'hidden_layer_sizes': 24, 'learning_rate_init': 0.41277666074447583, 'momentum': 0.3444640894355182}",0.06666666666666668,0.18589511431772213,0.2136636447006013,0.15540847522833004,0.06376573928582863,20
7,37.82605799039205,5.43905208539337,0.8168989022572836,0.028520477606298663,0.9855352138209998,35,0.2618131872108077,0.22576214365508798,"{'alpha': 0.9855352138209998, 'hidden_layer_sizes': 35, 'learning_rate_init': 0.2618131872108077, 'momentum': 0.22576214365508798}",0.3104143683117711,0.24482264839522405,0.24538405270435992,0.266873689803785,0.030788762099197054,8
8,33.12474409739176,1.0972662771321757,0.9105559984842936,0.02254600574131107,0.4313592077631866,87,0.9140099138426382,0.9166470575058149,"{'alpha': 0.4313592077631866, 'hidden_layer_sizes': 87, 'learning_rate_init': 0.9140099138426382, 'momentum': 0.9166470575058149}",0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,26
9,100.15789906183879,18.221918031077355,0.8465289274851481,0.011580109668178703,0.4648325183853478,56,0.02584067003965651,0.22260948260285895,"{'alpha': 0.4648325183853478, 'hidden_layer_sizes': 56, 'learning_rate_init': 0.02584067003965651, 'momentum': 0.22260948260285895}",0.8666514271190091,0.8660243126295684,0.8694331686708645,0.8673696361398141,0.0014814279205650302,2
10,25.77708641688029,0.8675398986302965,0.946049690246582,0.024990389860064806,0.27812010661340414,121,0.9251544151530278,0.17000818447663968,"{'alpha': 0.27812010661340414, 'hidden_layer_sizes': 121, 'learning_rate_init': 0.9251544151530278, 'momentum': 0.17000818447663968}",0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,26
11,38.03203105926514,9.745701800856553,0.6598082383473715,0.03225305454465,0.6529480631896604,11,0.038181266133503144,0.9428365012097127,"{'alpha': 0.6529480631896604, 'hidden_layer_sizes': 11, 'learning_rate_init': 0.038181266133503144, 'momentum': 0.9428365012097127}",0.8148697382820249,0.8319739466845942,0.819617301863089,0.8221536622765694,0.007209407251636966,3
12,14.797871033350626,1.2567838520678214,0.640540599822998,0.004865639450092508,0.906398247728266,9,0.29749242500602935,0.4094477282170528,"{'alpha': 0.906398247728266, 'hidden_layer_sizes': 9, 'learning_rate_init': 0.29749242500602935, 'momentum': 0.4094477282170528}",0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,26
13,23.931984345118206,4.784902488157652,1.0481807390848796,0.2310748750951155,0.16273729826642114,36,0.5502475281044592,0.36310630841240177,"{'alpha': 0.16273729826642114, 'hidden_layer_sizes': 36, 'learning_rate_init': 0.5502475281044592, 'momentum': 0.36310630841240177}",0.06666666666666668,0.06666666666666668,0.06666666666666668,0.06666666666666668,0.0,26
14,18.00542410214742,1.4747088259229852,0.8335330486297607,0.044364095209818655,0.746620284611529,25,0.9157729332344996,0.5964871586988684,"{'alpha': 0.746620284611529, 'hidden_layer_sizes': 25, 'learning_rate_init': 0.9157729332344996, 'momentum': 0.5964871586988684}",0.2086228992192173,0.06666666666666668,0.06666666666666668,0.11398541085085023,0.06691880977973538,22
