,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate_init,param_momentum,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,7.929891029993693,3.0306084614085522,0.13215104738871256,0.0034594786367977744,relu,"(100,)",0.1,0.1,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1, 'momentum': 0.1}",0.9142502204200383,0.9134154488699946,0.9146277373753603,0.9140978022217977,0.0005065137941041242,19
1,7.472280979156494,1.652253626740153,0.14522624015808105,0.013875770768269922,relu,"(100,)",0.1,0.5,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1, 'momentum': 0.5}",0.9142502204200383,0.9134154488699946,0.9146277373753603,0.9140978022217977,0.0005065137941041242,19
2,8.473260402679443,2.6948055220034,0.13473129272460938,0.00190280421611236,relu,"(100,)",0.1,1.0,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.1, 'momentum': 1.0}",0.9142502204200383,0.9134154488699946,0.9146277373753603,0.9140978022217977,0.0005065137941041242,19
3,72.4767660299937,2.3409929889373307,0.1319593588511149,0.0019352640384679909,relu,"(100,)",0.5,0.1,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.5, 'momentum': 0.1}",0.9121202932079376,0.9126306592327451,0.9079350055670071,0.9108953193358965,0.0021036019232936335,22
4,72.09335438410442,0.5380820502609736,0.13347927729288736,0.0016706106753568,relu,"(100,)",0.5,0.5,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.5, 'momentum': 0.5}",0.9121202932079376,0.9126306592327451,0.9079350055670071,0.9108953193358965,0.0021036019232936335,22
5,72.83577036857605,0.26122424660929283,0.13378826777140299,0.0017607714383200196,relu,"(100,)",0.5,1.0,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.5, 'momentum': 1.0}",0.9121202932079376,0.9126306592327451,0.9079350055670071,0.9108953193358965,0.0021036019232936335,22
6,73.40092992782593,0.08899708437755555,0.14049736658732095,0.004389044181258561,relu,"(100,)",1.0,0.1,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate_init': 1.0, 'momentum': 0.1}",0.8775903657054114,0.8784060327518153,0.9068751075793934,0.88762383534554,0.013616777400180448,49
7,73.50650095939636,0.16357656441237503,0.13481863339742026,0.0017391549364041779,relu,"(100,)",1.0,0.5,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate_init': 1.0, 'momentum': 0.5}",0.8775903657054114,0.8784060327518153,0.9068751075793934,0.88762383534554,0.013616777400180448,49
8,73.50440565745036,0.18930571230828006,0.1346440315246582,0.0019504310377800468,relu,"(100,)",1.0,1.0,"{'activation': 'relu', 'hidden_layer_sizes': (100,), 'learning_rate_init': 1.0, 'momentum': 1.0}",0.8775903657054114,0.8784060327518153,0.9068751075793934,0.88762383534554,0.013616777400180448,49
9,259.9460575580597,2.240112522694426,0.2485231558481852,0.0006103827403138841,relu,"(475,)",0.1,0.1,"{'activation': 'relu', 'hidden_layer_sizes': (475,), 'learning_rate_init': 0.1, 'momentum': 0.1}",0.9381263441003722,0.9416375717909007,0.9382898218224104,0.9393512459045611,0.001618053518956359,16
10,255.60333760579428,2.175014287153748,0.25511741638183594,0.007570715216902973,relu,"(475,)",0.1,0.5,"{'activation': 'relu', 'hidden_layer_sizes': (475,), 'learning_rate_init': 0.1, 'momentum': 0.5}",0.9381263441003722,0.9416375717909007,0.9382898218224104,0.9393512459045611,0.001618053518956359,16
11,252.42304595311484,0.4937462129166833,0.25171343485514325,0.0023784159568269207,relu,"(475,)",0.1,1.0,"{'activation': 'relu', 'hidden_layer_sizes': (475,), 'learning_rate_init': 0.1, 'momentum': 1.0}",0.9381263441003722,0.9416375717909007,0.9382898218224104,0.9393512459045611,0.001618053518956359,16
12,251.44035482406616,0.42036134002939346,0.25435622533162433,0.0032236883180735416,relu,"(475,)",0.5,0.1,"{'activation': 'relu', 'hidden_layer_sizes': (475,), 'learning_rate_init': 0.5, 'momentum': 0.1}",0.9393667658700839,0.9414493567338724,0.9383421417993846,0.9397194214677803,0.0012927930074625288,13
13,251.55283466974893,0.14653545661733203,0.24670100212097168,0.003972672580801187,relu,"(475,)",0.5,0.5,"{'activation': 'relu', 'hidden_layer_sizes': (475,), 'learning_rate_init': 0.5, 'momentum': 0.5}",0.9393667658700839,0.9414493567338724,0.9383421417993846,0.9397194214677803,0.0012927930074625288,13
14,252.05603273709616,0.15587230800356253,0.2533479531606038,0.004283331237927303,relu,"(475,)",0.5,1.0,"{'activation': 'relu', 'hidden_layer_sizes': (475,), 'learning_rate_init': 0.5, 'momentum': 1.0}",0.9393667658700839,0.9414493567338724,0.9383421417993846,0.9397194214677803,0.0012927930074625288,13
15,252.10780707995096,0.43373286411739576,0.2565762201944987,0.008876845520814055,relu,"(475,)",1.0,0.1,"{'activation': 'relu', 'hidden_layer_sizes': (475,), 'learning_rate_init': 1.0, 'momentum': 0.1}",0.9399121996825244,0.9406434025257558,0.9400072807252013,0.9401876276444939,0.0003246106980791722,4
16,251.9452563126882,0.35612199703071923,0.25618775685628253,0.005053978081944451,relu,"(475,)",1.0,0.5,"{'activation': 'relu', 'hidden_layer_sizes': (475,), 'learning_rate_init': 1.0, 'momentum': 0.5}",0.9399121996825244,0.9406434025257558,0.9400072807252013,0.9401876276444939,0.0003246106980791722,4
